pid,label,creator,location,_date,catalog record permalink,maneuver (object_type),description
ibx11_blechynden,[Commonplace Book]/manuscript,"Blechynden, Jane Harriet",Great Britain,1822,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph007378736,Gather,"This item, known as a friendship album, owned by Jane Harriet Blechynden (1806-1827), a young Anglo-Indian woman educated in England, is a form of commonplace book that was especially popular in the early nineteenth century—both in Britain and America. Composed by several hands but compiled by one person, this kind of notebook served as a repository for the taste, talent and viewpoints of a collective body of individual men and women. Consisting of drawings, poems, riddles and games, the entries of friendship albums were considered gifts by their inscriber. They also carried with them signs of their social status and education, as each entry was an opportunity to demonstrate one’s knowledge and accomplishments--such as knowledge of French--as well as elegance of handwriting. PARAGRAPH An object of private circulation, the book would be looked at, signed and filled in by family members (Blechynden’s sisters Emma and Sarah) and visitors to the compiler’s home, or would travel with her. Here, the term “commonplace” takes on new meaning as the book itself, a blank space that was progressively filled up by the people its owner interacted with and wanted to memorialize with the written and drawn products of their own hands. Each entertaining page constitutes a place where gestures of friendship were made and inscribed by individuals, leaving behind with them the most intimate trace of personhood, their own handwriting."
ibx12_jackson,"Patchwork Girl by Mary/Shelley and Herself: a graveyard, a journal, a quilt, a story & broken accents","Jackson, Shelley","Watertown, MA",1995,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph003508474,Gather,"An acclaimed work of electronic literature and hypertext fiction, Jackson’s Patchwork Girl exploits the digital medium to create a non-linear narrative that may go in several different directions, like a web, depending on which piece of the story and corresponding images the reader clicks. Because the story itself is morcellated, just as the body of the female creature (the “patchwork girl”) at its center is, text and body are co-identified. This relationship places the reader into a role of needing to gather together the disjointed parts in an active process of piecing the story together. Mediated by clicks that can seem to lead anywhere, in contrast with the codex whose pages reach a defined endpoint with each turn, the body of this digital book interacts with the reader by making an explicit demand that it be made whole: “if you want to see the whole, you will have to sew me together yourself,” it says."
ibx13_unbearables,,,,,,,
ibx14_hevelius,"Selenographia, sive, Lunae descriptio","Hevelii, Johannis",Gedani,1647,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph007341116,Turn,"In 1647 Johannes Hevelius (1611-1687) published the first comprehensive atlas of the moon’s topography, Selenographia, the result of many years of labor. Using such instruments as a refracting telescope, sextant and quadrant--all of which he made himself--to make his observations, he produced countless views, maps and diagrams of the moon in his book. These were painstakingly described, drawn and engraved also by Hevelius himself. Hevelius made an instrument inside his book for his reader to use: a volvelle that calculates the moon’s orbital path when turning the wheel. The name of the device, volvelle, is derived from the Latin word “volvere” or “to turn,” and refers to both its wheel shape and its ability to be turned when the reader moves it. Created by attaching a circular piece of paper to at least one other wheel with a piece of thread, traditional volvelles allow computations to be made that concern the motion of planets by superimposing a wheel so it falls within fixed coordinates inscribed around the edges of each wheel. In this way volvelles function as paper computers, as well as two-dimensional representations of three-dimensional entities, such as the moon, moving through projected points in time and space with the aid of a reader’s hand."
ibx15_oracle_fan,Oracle; Book of Fate lady’s fan,manufacturer/printer not identified,London,Late 18th century,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph007533918,Turn,"Oracle, a fan, is a fashion accessory meant to regulate bodily and ambient temperature, as well as an interactive game and book-like object. Identifying itself as a “book,” the fan persuasively comprises critical elements of one. It is a folded composite object based on paper, combines word and image Oracle, a fan, is a fashion accessory meant to regulate bodily and ambient temperature, as well as an interactive game and book-like object. Identifying itself as a “book,” the fan persuasively comprises critical elements of one. It is a folded composite object based on paper, combines word and image in its representational system, uses the print medium, stores multiple pieces of information in one compact space, and is held in the hand, close to the body. It is “bound” on one end. In order to exploit its full function, one has to “open” it. The paper portion of the fan on which words and images are presented is called a “leaf,” and has a recto and verso side. The two sides of this particular fan are interdependent and require a turn of its leaf to reveal their shared meaning. PARAGRAPH The element on which the game pivots is the wheel depicted on the recto. Numbers correspond to such questions as “Whether the Dream be true” or “Whether one is to get Riches.” The fan owner’s companion, keeping the number of the question in mind, pricks one of the numbers on the wheel. This number in turn corresponds with one of the deities--Jupiter, Juno, Apollo, Diana, Mars, Venus, Bacchus, Ceres, Mercury, and Minerva--residing in individual columns on the verso side of the fan. Within each column, a numbered answer for each numbered question is provided. Through the play of chance and fortune, different story lines unfold for a querent, with the outcome of her story revealed with the turn of a hand-held printed object.
 its representational system, uses the print medium, stores multiple pieces of information in one compact space, and is held in the hand, close to the body. It is “bound” on one end. In order to exploit its full function, one has to “open” it. The paper portion of the fan on which words and images are presented is called a “leaf,” and has a recto and verso side. The two sides of this particular fan are interdependent and require a turn of its leaf to reveal their shared meaning. PARAGRAPH The element on which the game pivots is the wheel depicted on the recto. Numbers correspond to such questions as “Whether the Dream be true” or “Whether one is to get Riches.” The fan owner’s companion, keeping the number of the question in mind, pricks one of the numbers on the wheel. This number in turn corresponds with one of the deities--Jupiter, Juno, Apollo, Diana, Mars, Venus, Bacchus, Ceres, Mercury, and Minerva--residing in individual columns on the verso side of the fan. Within each column, a numbered answer for each numbered question is provided. Through the play of chance and fortune, different story lines unfold for a querent, with the outcome of her story revealed with the turn of a hand-held printed object."
ibx16_rose_merton,"Deans New Dress Book: Rose Merton, the Little Orphan ","Adomeit, Ruth E. and Frederick Calvert (illustrator)",London,1860,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph007377031,Turn,"With its movable element and pieces of real fabric used to depict the heroine’s dress, this children’s book is a hybrid book and toy. As the book’s publisher puts it, the pictures inside are “equal to six dressed dolls.” In six hand-colored wood-engraved plates, Rose Merton tells the story of a young orphan who is lured away from her guardian aunt by a gypsy woman holding a spinning wheel. That this wheel is the one element of the book that can be made to move by pulling a tab attached to it suggests its centrality to the story. Without Rose’s susceptibility to its novelty as a wheel that creates an optical illusion when it is turned, the operative turn in her fortune that forms the basis of the story would not have been made. PARAGRAPH The reader identifies with Rose by being similarly entranced by the book’s novel elements, and is compelled to follow the heroine through her trial, rescue and eventual return to safety. The colorful fabric pieces that comprise Rose’s dresses promote not only a sense of interactive tactility to the reading experience but also import elements of the “real world” into a make-believe one. While the depictions of Rose might be construed as paper doll-like forms, they are distinct from paper dolls (such as the well-known The History of Little Fanny, 1810). Unremovable from the book’s pages, she is situated in a represented world, against a backdrop of different landscapes, milieus, and other people. Moreover, while her dress is affixed to her as with paper dolls, it is not removable either."
ibx17_mother_hubbard,Old Mother Hubbard: Magical Changes with Mother Goose Melodies,"Martin, Sarah Catherine and William Ludwell Sheppard (illustrator)",New York,1879,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph001562921,Turn,"This late nineteenth-century children’s book is a later American example of the movable type of children’s book originating in mid-seventeenth century England and known as the metamorphic book, flap book, turn-up book, or harlequinade. Whereas earlier flap books comprised engraved illustrations, this one uses tinted lithographs for its illustrations (the illustrator, William Ludwell Sheppard, was a noted artist). Old Mother Hubbard is the 4th in the 6-part Mother Goose Series published by G.W. Carleton in the late 1870s. Carleton referred to its lithographs as “magic colored pictures.” PARAGRAPH Like the other books in the series, Old Mother Hubbard is full of violent verse and images that appear inconsistent with literature considered appropriate for young readers, the apparent intended audience. Verses in the book for instance refer to “John O’Gudgeon” the “wild man” who “whipt his children now and then,” making them “dance.” The effect of unexpected horror and subversion is accentuated by the book’s format, which requires readers to pick up the flap whose front makes up one image to reveal another lying underneath. The metamorphic flap page selection exhibited shows on the outer flap Old Mother Hubbard leaving the house she shares with a dog to go to the bakery. When lifting the flap, she is shown returning home to find the dog dead. With the flick of a wrist and turning of a flap page, the narrative expands, progresses and mutates visually, textually and kinetically."
ibx18_denzer_trifold,Ninety One at Sixty Ninth: Twenty Three Poems,"Denzer, Ben",New York,2020,Uncataloged,Turn,"This artist’s book by artist and designer Ben Denzer, which compiles poems by Sidney Offit (1928 - ), defamiliarizes the spatial mechanics of opening and reading a book by experimenting with paper folds and page order. Looking at first glance like a piece of ephemera from everyday life, a gatefold promotional pamphlet with a stapled binding that one might receive in the mail or pick up at a gallery or museum, this book is in fact a hand-bound paper puzzle. Through the simple maneuver of using pamphlet stitch to create a binding for folded leaves of paper along each end of the trifold cover, the book turns reading into a multi-directional experience. The codex model of reading from front to back or back to front is disrupted; Denzer’s numbering system necessitates reading pages from one end to another in order to proceed sequentially. Each page turn becomes an act of unfolding or unwrapping in order to reach the last poem, which is placed on the center panel. Closing the book necessitates an act of layering each page from opposite ends on top of the other to return the pages to their original order. Such structural quirks and witticisms make one even more aware of the actions made possible by the standard modern book format, including the random access it allows, as opposed to the sequential access (akin to a scroll) necessitated by the gatefold structure of Denzer’s book. Herein lies the paradox of this artist’s book: the playfulness of its inventive structure calls attention to the fixed conventions of the modern codex format while at the same revealing the inherent flexibility of its structure."
ibx19_denzer_cheese,,,,,,,
ibx20_mattioli,New Kreüterbuch,"Mattioli, Pietro Andrea and Georg Handsch (translator)",Prag,1563,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000039075,Use,"This book is a German translation of Pietro Andrea Mattioli’s Commentarii in sex libros Pedacii Dioscoridis. First published in Italian in 1544, the Commentarii was the preeminent botanical reference work during its time period; 32,000 copies of the earlier edition were sold. Mattioli (1501-1577), like all Italian botanists at the time, was a devoted student of the classical Greek text De material medica libri quinque by the physician, botanist and pharmacologist Dioscorides (c. 40-90 AD). Though its title presents him as a “commentator” on Dioscorides’s study, he made original contributions too and augmented Discorides’s 800 plant compendium by including every plant known to him. Many of these were reported to him by friends and acquaintances who traveled to distant countries, like the Flemish herbalist and diplomat to the Ottman Empire, Busbecq (1522-1592), and made botanical drawings in Turkey for Mattioli. PARAGRAPH The stunning woodcuts (made by Giorio Liberale and Wolfgang Meyerpack) appearing in this edition are original to it. Some are hand-colored, a practice of interacting with the book’s prints that might have been undertaken by the book owner or by print shop workers. A vivid indicator that this book was used arises in the pressed plant leaves that appear throughout this folio sized volume. The pressed plant suggests the reader not only spent time turning the pages of this heavy and large book, but also studied them closely. The reader also carried the information conveyed by Mattioli and those he in turn was informed by inside his mind and found specimens of the same plants within his own immediate environments. By collocating the real plant against the one described and illustrated in Mattioli’s plant book, the reader brought his world into direct contact with the one embodied by print."
ibx21_archer,A Compendious Herbal,"Archer, John",London,1673,http://bobcat.library.nyu.edu/primo-explore/fulldisplay?docid=nyu_aleph003996065&context=L&vid=NYU&search_scope=all&tab=all&lang=en_US,Use,"Like Mattioli’s New Kreüterbuch HYPERLINK, another herbal in this exhibition, Archer’s book, is a “compendious, though Brief” compilation of names for different herbs and their general characteristics and recommended usages. The leaves of alder tree, for instance, “put to the bare feet gauled with travelling,” are recommended for being “very refreshing.” According to the author, John Archer (fl. 1660-1684), King Charles II’s court physician, this book, a follow-up to his earlier Every Man his own Doctor (1671), seeks to turn readers “in short time” into “Competent Herbalist.” Its “brevity” was intended to make the book “more portable” and “more useful, as a Vade Mecum” (“go with me” in Latin) or reference book. PARAGRAPH The owner of this copy allowed it to function even more as a vade mecum by creating a meticulously organized index on several blank leaves inserted at the back of the book. The terms in the index are of such wide-ranging and general ailments as “cough,” “cramp,” “bruises,” “belly ach,” “astma,” “gout,” “fatnesse,” “baldneses,” “dissentary.” By extracting the pertinent topics from each herb entry and compiling them alphabetically with corresponding page numbers in an index, the book owner mapped out the spaces of the book in terms of his own needs and made them easy to find. In this way the creation of an index was the operative step taken to turn Archer’s book decisively from an object to be read to an object to be used and consulted frequently. Given the comprehensiveness and density of the index, it is clear the book was subject to great care, both as an object of reading and an object of use in the owner’s daily life. As a soiled and worn vade mecum, it apparently went where the owner did."
ibx22_hebrew_calendar_wheel,Sefer ‘Evronot,Eliʻezer ben Yaʻaḳov Belin Ashkenaz,ʼOfi Bakh,1722,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004032221,Use,"The book this volvelle appears in is known as a Sefer ‘Evronot, a Hebrew calendar book. The volvelle was one of the tools used not just for pivotal dates and worshipping times for Jews, but also for calculating such dates as Christan holidays. This knowledge was a critical aid for protecting Jews from the danger posed by their different worshipping times and habits from the dominant culture. The headings on the wheel denote the arrival of the new moon, which marks the start of the Jewish month, and the cycle of the sun. Whereas calendars appear in general to be a “convenient way to coordinate human movements with natural time,” Elisheva Carlebach points out, the Sefer ‘Evronot demonstrates that calendars have different methods for doing so that are culturally and historically based. The wheel demands interaction from the reader in order to yield the useful information that is computed with each push of the wheel by the finger."
ibx23_smith_eliza,,,,,,,
ibx24_horn_book,Horn Book,Unknown,England,1750,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004208062,Use,"The alphabet, as literature scholar Patricia Crain puts it, is “the first step to literacy training.” Horn books had been used for teaching the alphabet since the fifteenth century and continued to be used until the nineteenth century, with little change to its design or function. This mid eighteenth-century example example from England has roughly the same dimensions as an iPhone Mini or small smartphone. The name “horn book” derives from the transparent sheet of animal (sheep, ox or cow) horn used to protect the paper or parchment on which the letters of the alphabet, vowels and numbers are written. The structure of the “book” in this way bears more similarities with a tablet or phone window than a codex. The hook at the end of the paddle handle allowed the child to attach the hornbook to a girdle worn around the waist. Not only did this prevent the hornbook from getting misplaced, but also gave it a physically intimate status as a tool for helping the child to memorize the alphabet."
ibx25_ames_almanack,"An Astronomical Diary, or Almanack for the Year of our Lord Christ 1769","Ames, Nathaniel",Boston,1769,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph002364398,Use,"This American eighteenth-century almanac or pocket diary represents a print genre that had first begun appearing in England in the mid-sixteenth century, and enjoyed immense popularity as cheap and ephemeral book items. They were filled with information presented in charts meant to help one plan, make decisions or take particular actions in their day-to-day activities, including mercantile ones. The centerpiece of these almanacs were the monthly calendars with information pertaining to different topics, including historical events, the weather, holidays, phases of the moon, and astrology. The back of this almanac includes a table of roads from Boston to other New England cities, indicating the extent to which this book genre was meant to be carried throughout one’s daily journeys. PARAGRAPH The pocket diary was worn on the body of its owner, carried in his pocket. In consequence, the body of the unbound volume developed wear. The cover’s paper is tattered and creased. Almanacs also bear the marks of their owners’ activities and existence in whatever blank space could be found inside them, or made to have inside them, with the help of printers adding blank sheets when requested by customers. Here, its owner writes about his location on the page opening for the months of August and September: “From my own Appartment from May 1769 to Septembr in the same year.” The appearance of handwriting on the almanac pages creates a striking image of manuscript interacting with print, and of individual selfhood finding a space for itself in a generic setting."
